---,AugmentTag,OwnerCharacterTag,Operation,ValuePerStack,SelectionWeight,MaxStack,Rarity,TargetAbilityTag,StatTag,Definition,bEnabled,bCountAsLegendarySlot
Augment_Engineer_SpawnTurret_Cooldown_Multiply,"(TagName=""Augment.Definition.Engineer.SpawnTurret.Cooldown"")","(TagName=""Character.Player.Engineer"")","Multiply","-10.000000","100","5","Epic","(TagName=""Ability.Engineer.SpawnTurret"")","(TagName=""CombatStat.Cooldown"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_SpawnTurret_Cooldown.DA_Augment_SpawnTurret_Cooldown","True","False"
Augment_Engineer_SpeedBuff_Cooldown_Multiply,"(TagName=""Augment.Definition.Engineer.SpeedBuff.Cooldown"")","(TagName=""Character.Player.Engineer"")","Multiply","-10.000000","100","5","Epic","(TagName=""Ability.Engineer.SpeedBuff"")","(TagName=""CombatStat.Cooldown"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_EngineerSpeedBuff_CoolDown.DA_Augment_EngineerSpeedBuff_CoolDown","True","False"
Augment_Ranger_Grenade_CoolDown_Multiply,"(TagName=""Augment.Definition.Ranger.Grenade.CoolDown"")","(TagName=""Character.Player.Ranger"")","Multiply","-10.000000","100","5","Epic","(TagName=""Ability.Ranger.Grenade"")","(TagName=""CombatStat.Cooldown"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_Grenade_Cooldown.DA_Augment_Grenade_Cooldown","True","False"
Augment_Ranger_ProjectileShot_Cooldown_Multiply,"(TagName=""Augment.Definition.Ranger.ProjectileShot.Cooldown"")","(TagName=""Character.Player.Ranger"")","Multiply","-10.000000","100","5","Epic","(TagName=""Ability.Ranger.ProjectileShot"")","(TagName=""CombatStat.Cooldown"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_Projectile_Cooldown.DA_Augment_Projectile_Cooldown","True","False"
Augment_Ranger_SpeedBuff_CoolDown_Multiply,"(TagName=""Augment.Definition.Ranger.SpeedBuff.CoolDown"")","(TagName=""Character.Player.Ranger"")","Multiply","-10.000000","100","5","Epic","(TagName=""Ability.Ranger.SpeedBuff"")","(TagName=""CombatStat.Cooldown"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_RangerSpeedBuff_CoolDown.DA_Augment_RangerSpeedBuff_CoolDown","True","False"
Augment_Engineer_ShotgunFire_PelletCount_Add,"(TagName=""Augment.Definition.Engineer.ShotgunFire.PelletCount"")","(TagName=""Character.Player.Engineer"")","Add","2.000000","100","3","Legendary","(TagName=""Ability.Engineer.ShotgunFire"")","(TagName=""CombatStat.PelletCount"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_ShotgunFire_PelletCount.DA_Augment_ShotgunFire_PelletCount","True","False"
Augment_Engineer_ShotgunFire_PelletSpread_Multiply,"(TagName=""Augment.Definition.Engineer.ShotgunFire.PelletSpread"")","(TagName=""Character.Player.Engineer"")","Multiply","-20.000000","100","3","Legendary","(TagName=""Ability.Engineer.ShotgunFire"")","(TagName=""CombatStat.PelletSpread"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_ShotgunFire_PelletSpread.DA_Augment_ShotgunFire_PelletSpread","True","False"
Augment_Common_CritChanUpDefDown_1,"(TagName=""Augment.Definition.Common.CritChanUpDefDown"")","(TagName=""Character.Common"")","Add","15.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.CritChance"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChanUpDefDown.DA_Augment_Common_CritChanUpDefDown","True","False"
Augment_Common_CritChanUpDefDown_2,"(TagName=""Augment.Definition.Common.CritChanUpDefDown"")","(TagName=""Character.Common"")","Add","-5.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChanUpDefDown.DA_Augment_Common_CritChanUpDefDown","True","False"
Augment_Common_CritChanUpDmgDown_1,"(TagName=""Augment.Definition.Common.CritChanUpDmgDown"")","(TagName=""Character.Common"")","Add","15.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.CritChance"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChanUpDmgDown.DA_Augment_Common_CritChanUpDmgDown","True","False"
Augment_Common_CritChanUpDmgDown_2,"(TagName=""Augment.Definition.Common.CritChanUpDmgDown"")","(TagName=""Character.Common"")","Add","-5.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChanUpDmgDown.DA_Augment_Common_CritChanUpDmgDown","True","False"
Augment_Common_CritChanUpHpDown_1,"(TagName=""Augment.Definition.Common.CritChanUpHpDown"")","(TagName=""Character.Common"")","Add","15.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.CritChance"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChanUpHpDown.DA_Augment_Common_CritChanUpHpDown","True","False"
Augment_Common_CritChanUpHpDown_2,"(TagName=""Augment.Definition.Common.CritChanUpHpDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChanUpHpDown.DA_Augment_Common_CritChanUpHpDown","True","False"
Augment_Common_CritChanUpShdDown_1,"(TagName=""Augment.Definition.Common.CritChanUpShdDown"")","(TagName=""Character.Common"")","Add","15.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.CritChance"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChanUpShdDown.DA_Augment_Common_CritChanUpShdDown","True","False"
Augment_Common_CritChanUpShdDown_2,"(TagName=""Augment.Definition.Common.CritChanUpShdDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxShield"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChanUpShdDown.DA_Augment_Common_CritChanUpShdDown","True","False"
Augment_Common_DefUpHpDown_1,"(TagName=""Augment.Definition.Common.DefUpHpDown"")","(TagName=""Character.Common"")","Add","20.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_DefUpHpDown.DA_Augment_DefUpHpDown","True","False"
Augment_Common_DefUpHpDown_2,"(TagName=""Augment.Definition.Common.DefUpHpDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_DefUpHpDown.DA_Augment_DefUpHpDown","True","False"
Augment_Common_DefUpShdDown_1,"(TagName=""Augment.Definition.Common.DefUpShdDown"")","(TagName=""Character.Common"")","Add","20.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_DefUpShdDown.DA_Augment_DefUpShdDown","True","False"
Augment_Common_DefUpShdDown_2,"(TagName=""Augment.Definition.Common.DefUpShdDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxShield"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_DefUpShdDown.DA_Augment_DefUpShdDown","True","False"
Augment_Common_DefUpShdRgnDown_1,"(TagName=""Augment.Definition.Common.DefUpShdRgnDown"")","(TagName=""Character.Common"")","Add","20.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_DefUpShdRgnDown.DA_Augment_DefUpShdRgnDown","True","False"
Augment_Common_DefUpShdRgnDown_2,"(TagName=""Augment.Definition.Common.DefUpShdRgnDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.ShieldRechargeRate"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_DefUpShdRgnDown.DA_Augment_DefUpShdRgnDown","True","False"
Augment_Common_DmgUpCritChanDown_1,"(TagName=""Augment.Definition.Common.DmgUpCritChanDown"")","(TagName=""Character.Common"")","Add","15.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_DmgUpCritChanDown.DA_Augment_Common_DmgUpCritChanDown","True","False"
Augment_Common_DmgUpCritChanDown_2,"(TagName=""Augment.Definition.Common.DmgUpCritChanDown"")","(TagName=""Character.Common"")","Add","-5.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.CritChance"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_DmgUpCritChanDown.DA_Augment_Common_DmgUpCritChanDown","True","False"
Augment_Common_DmgUpDefDown_1,"(TagName=""Augment.Definition.Common.DmgUpDefDown"")","(TagName=""Character.Common"")","Add","15.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_DmgUpDefDown.DA_Augment_Common_DmgUpDefDown","True","False"
Augment_Common_DmgUpDefDown_2,"(TagName=""Augment.Definition.Common.DmgUpDefDown"")","(TagName=""Character.Common"")","Add","-5.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_DmgUpDefDown.DA_Augment_Common_DmgUpDefDown","True","False"
Augment_Common_DmgUpHpDown_1,"(TagName=""Augment.Definition.Common.DmgUpHpDown"")","(TagName=""Character.Common"")","Add","15.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_DmgUpHpDown.DA_Augment_Common_DmgUpHpDown","True","False"
Augment_Common_DmgUpHpDown_2,"(TagName=""Augment.Definition.Common.DmgUpHpDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_DmgUpHpDown.DA_Augment_Common_DmgUpHpDown","True","False"
Augment_Common_DmgUpShdDown_1,"(TagName=""Augment.Definition.Common.DmgUpShdDown"")","(TagName=""Character.Common"")","Add","15.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_DmgUpShdDown.DA_Augment_Common_DmgUpShdDown","True","False"
Augment_Common_DmgUpShdDown_2,"(TagName=""Augment.Definition.Common.DmgUpShdDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxShield"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_DmgUpShdDown.DA_Augment_Common_DmgUpShdDown","True","False"
Augment_Common_HpUpDefDown_1,"(TagName=""Augment.Definition.Common.HpUpDefDown"")","(TagName=""Character.Common"")","Multiply","30.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_HpUpDefDown.DA_Augment_Common_HpUpDefDown","True","False"
Augment_Common_HpUpDefDown_2,"(TagName=""Augment.Definition.Common.HpUpDefDown"")","(TagName=""Character.Common"")","Add","-5.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_HpUpDefDown.DA_Augment_Common_HpUpDefDown","True","False"
Augment_Common_HpUpShdDown_1,"(TagName=""Augment.Definition.Common.HpUpShdDown"")","(TagName=""Character.Common"")","Multiply","30.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_HpUpShdDown.DA_Augment_Common_HpUpShdDown","True","False"
Augment_Common_HpUpShdDown_2,"(TagName=""Augment.Definition.Common.HpUpShdDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxShield"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_HpUpShdDown.DA_Augment_Common_HpUpShdDown","True","False"
Augment_Common_ShdRgnUpDefDown_1,"(TagName=""Augment.Definition.Common.ShdRgnUpDefDown"")","(TagName=""Character.Common"")","Multiply","50.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.ShieldRechargeRate"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShdRgnUpDefDown.DA_Augment_Common_ShdRgnUpDefDown","True","False"
Augment_Common_ShdRgnUpDefDown_2,"(TagName=""Augment.Definition.Common.ShdRgnUpDefDown"")","(TagName=""Character.Common"")","Add","-5.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShdRgnUpDefDown.DA_Augment_Common_ShdRgnUpDefDown","True","False"
Augment_Common_ShdRgnUpHpDown_1,"(TagName=""Augment.Definition.Common.ShdRgnUpHpDown"")","(TagName=""Character.Common"")","Multiply","50.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.ShieldRechargeRate"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShdRgnUpHpDown.DA_Augment_Common_ShdRgnUpHpDown","True","False"
Augment_Common_ShdRgnUpHpDown_2,"(TagName=""Augment.Definition.Common.ShdRgnUpHpDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShdRgnUpHpDown.DA_Augment_Common_ShdRgnUpHpDown","True","False"
Augment_Common_ShdUpDefDown_1,"(TagName=""Augment.Definition.Common.ShdUpDefDown"")","(TagName=""Character.Common"")","Multiply","30.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxShield"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShdUpDefDown.DA_Augment_Common_ShdUpDefDown","True","False"
Augment_Common_ShdUpDefDown_2,"(TagName=""Augment.Definition.Common.ShdUpDefDown"")","(TagName=""Character.Common"")","Add","-5.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShdUpDefDown.DA_Augment_Common_ShdUpDefDown","True","False"
Augment_Common_ShdUpHpDown_1,"(TagName=""Augment.Definition.Common.ShdUpHpDown"")","(TagName=""Character.Common"")","Multiply","30.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxShield"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShdUpHpDown.DA_Augment_Common_ShdUpHpDown","True","False"
Augment_Common_ShdUpHpDown_2,"(TagName=""Augment.Definition.Common.ShdUpHpDown"")","(TagName=""Character.Common"")","Multiply","-10.000000","50","5","Rare","(TagName="""")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShdUpHpDown.DA_Augment_Common_ShdUpHpDown","True","False"
Augment_Engineer_Barrier_Duration_Multiply,"(TagName=""Augment.Definition.Engineer.Barrier.Duration"")","(TagName=""Character.Player.Engineer"")","Multiply","20.000000","100","5","Rare","(TagName=""Ability.Engineer.Barrier"")","(TagName=""CombatStat.Duration"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_Barrier_Duration.DA_Augment_Barrier_Duration","True","False"
Augment_Engineer_Barrier_Radius_Add,"(TagName=""Augment.Definition.Engineer.Barrier.Radius"")","(TagName=""Character.Player.Engineer"")","Add","50.000000","100","4","Rare","(TagName=""Ability.Engineer.Barrier"")","(TagName=""CombatStat.Radius"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_Barrier_Radius.DA_Augment_Barrier_Radius","True","False"
Augment_Engineer_SpawnTurret_Accuracy_Multiply,"(TagName=""Augment.Definition.Engineer.SpawnTurret.Accuracy"")","(TagName=""Character.Player.Engineer"")","Multiply","20.000000","100","5","Rare","(TagName=""Ability.Engineer.SpawnTurret"")","(TagName=""CombatStat.Accuracy"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_SpawnTurret_Accuracy.DA_Augment_SpawnTurret_Accuracy","True","False"
Augment_Engineer_SpawnTurret_DetAtkRange_Multiply_1,"(TagName=""Augment.Definition.Engineer.SpawnTurret.DetAtkRange"")","(TagName=""Character.Player.Engineer"")","Multiply","20.000000","100","5","Rare","(TagName=""Ability.Engineer.SpawnTurret"")","(TagName=""CombatStat.DetectionRange"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_SpawnTurret_DetAtkRange.DA_Augment_SpawnTurret_DetAtkRange","True","False"
Augment_Engineer_SpawnTurret_DetAtkRange_Multiply_2,"(TagName=""Augment.Definition.Engineer.SpawnTurret.DetAtkRange"")","(TagName=""Character.Player.Engineer"")","Multiply","20.000000","100","5","Rare","(TagName=""Ability.Engineer.SpawnTurret"")","(TagName=""CombatStat.FireRange"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_SpawnTurret_DetAtkRange.DA_Augment_SpawnTurret_DetAtkRange","True","False"
Augment_Engineer_SpeedBuff_Duration_Multiply,"(TagName=""Augment.Definition.Engineer.SpeedBuff.Duration"")","(TagName=""Character.Player.Engineer"")","Multiply","20.000000","100","5","Rare","(TagName=""Ability.Engineer.SpeedBuff"")","(TagName=""CombatStat.Duration"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_EngineerSpeedBuff_Duration.DA_Augment_EngineerSpeedBuff_Duration","True","False"
Augment_Engineer_SpeedBuff_Radius_Multiply,"(TagName=""Augment.Definition.Engineer.SpeedBuff.Radius"")","(TagName=""Character.Player.Engineer"")","Multiply","50.000000","100","4","Rare","(TagName=""Ability.Engineer.SpeedBuff"")","(TagName=""CombatStat.Radius"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_EngineerSpeedBuff_Radius.DA_Augment_EngineerSpeedBuff_Radius","True","False"
Augment_Ranger_Grenade_SplashRadius_Multiply,"(TagName=""Augment.Definition.Ranger.Grenade.SplashRadius"")","(TagName=""Character.Player.Ranger"")","Multiply","20.000000","100","5","Rare","(TagName=""Ability.Ranger.Grenade"")","(TagName=""CombatStat.ExplosionRadius"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_Grenade_SplashRadius.DA_Augment_Grenade_SplashRadius","True","False"
Augment_Ranger_ProjectileShot_SplashRadius_Multiply,"(TagName=""Augment.Definition.Ranger.ProjectileShot.SplashRadius"")","(TagName=""Character.Player.Ranger"")","Multiply","20.000000","100","5","Rare","(TagName=""Ability.Ranger.ProjectileShot"")","(TagName=""CombatStat.ExplosionRadius"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_Projectile_SplashRadius.DA_Augment_Projectile_SplashRadius","True","False"
Augment_Ranger_SpeedBuff_Duration_Multiply,"(TagName=""Augment.Definition.Ranger.SpeedBuff.Duration"")","(TagName=""Character.Player.Ranger"")","Multiply","10.000000","100","5","Rare","(TagName=""Ability.Ranger.SpeedBuff"")","(TagName=""CombatStat.Duration"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_RangerSpeedBuff_BuffPower.DA_Augment_RangerSpeedBuff_BuffPower","True","False"
